week,popularity
2007-12-30,48
2008-01-06,56
2008-01-13,55
2008-01-20,54
2008-01-27,56
2008-02-03,56
2008-02-10,51
2008-02-17,49
2008-02-24,54
2008-03-02,53
2008-03-09,53
2008-03-16,52
2008-03-23,50
2008-03-30,52
2008-04-06,57
2008-04-13,57
2008-04-20,56
2008-04-27,56
2008-05-04,62
2008-05-11,60
2008-05-18,59
2008-05-25,57
2008-06-01,60
2008-06-08,61
2008-06-15,57
2008-06-22,63
2008-06-29,77
2008-07-06,84
2008-07-13,72
2008-07-20,68
2008-07-27,64
2008-08-03,57
2008-08-10,56
2008-08-17,60
2008-08-24,57
2008-08-31,63
2008-09-07,62
2008-09-14,56
2008-09-21,53
2008-09-28,61
2008-10-05,50
2008-10-12,50
2008-10-19,50
2008-10-26,52
2008-11-02,52
2008-11-09,52
2008-11-16,53
2008-11-23,54
2008-11-30,52
2008-12-07,65
2008-12-14,67
2008-12-21,49
2008-12-28,54
2009-01-04,54
2009-01-11,56
2009-01-18,61
2009-01-25,60
2009-02-01,63
2009-02-08,67
2009-02-15,61
2009-02-22,63
2009-03-01,60
2009-03-08,62
2009-03-15,63
2009-03-22,60
2009-03-29,66
2009-04-05,62
2009-04-12,62
2009-04-19,64
2009-04-26,63
2009-05-03,66
2009-05-10,72
2009-05-17,68
2009-05-24,71
2009-05-31,72
2009-06-07,69
2009-06-14,78
2009-06-21,77
2009-06-28,93
2009-07-05,100
2009-07-12,91
2009-07-19,77
2009-07-26,74
2009-08-02,64
2009-08-09,70
2009-08-16,73
2009-08-23,79
2009-08-30,77
2009-09-06,76
2009-09-13,71
2009-09-20,68
2009-09-27,69
2009-10-04,63
2009-10-11,64
2009-10-18,70
2009-10-25,66
2009-11-01,71
2009-11-08,68
2009-11-15,67
2009-11-22,70
2009-11-29,70
2009-12-06,63
2009-12-13,74
2009-12-20,74
2009-12-27,67
